gene,timepoint,log2FC,p,padj
2010107E04Rik,24H,-0.09941817508323503,0.6761206992997406,1.0
2010107G12Rik,24H,-0.42313708935555816,0.354104661225682,1.0
2010107G23Rik,24H,-0.15158615518512164,0.336645527934678,1.0
2010109A12Rik,24H,0.009230009267763961,0.9903210786000887,1.0
2010111I01Rik,24H,-0.14581241862601857,0.6824914630281329,1.0
2010204K13Rik,24H,0.27528232937774,0.14855181574467352,1.0
2010300C02Rik,24H,-0.07069917232908551,0.6462872086285707,1.0
2010315B03Rik,24H,0.2912535924586397,0.5695276237843603,1.0
2010320M18Rik,24H,-0.04714205728901444,0.8982859224046772,1.0
2010320O07Rik,24H,0.2947970375421183,0.6573817841552133,1.0
2210008F06Rik,24H,0.07176291290532699,0.8649522801362088,1.0
2210011C24Rik,24H,-2.5923767364717043,0.0030418900191288216,1.0
2210013O21Rik,24H,0.1888349930093156,0.5801224905438922,1.0
2210016F16Rik,24H,-0.09192806750885563,0.40023345894957935,1.0
2210016L21Rik,24H,-0.053377821915816526,0.7968723786606723,1.0
2210018M11Rik,24H,0.06886442039514051,0.8398040263974429,1.0
2210404O09Rik,24H,0.31250003972502505,0.5293788061379651,1.0
2210406O10Rik,24H,0.0723118096162434,0.737028597139405,1.0
2210408F21Rik,24H,0.1263585162526537,0.7233321551763425,1.0
2210408I21Rik,24H,0.09753201243092935,0.7576440190982404,1.0
2210412B16Rik,24H,0.18028666526027282,0.6689326319064478,1.0
2210418O10Rik,24H,0.05567293338929691,0.8068581220362024,1.0
2300009A05Rik,24H,-0.05221051726339265,0.8636790419298839,1.0
2310001H17Rik,24H,-0.14076981228262575,0.8147313173886549,1.0
2310002F09Rik,24H,-0.1979215631654494,0.3766309187500811,1.0
2310009A05Rik,24H,-0.24409261268874793,0.6534262190556761,1.0
2310009B15Rik,24H,0.1386671697418178,0.6400910116630143,1.0
2310010G23Rik,24H,0.04794451639953712,0.9322000882449619,1.0
2310010J17Rik,24H,-0.3616541669070519,0.10721854273718139,1.0
2310011J03Rik,24H,-0.014761472072024162,0.8865609724245888,1.0
2310015A10Rik,24H,-0.02626105666246481,0.8992399967796012,1.0
2310022A10Rik,24H,-0.05455534533593287,0.7916461046453288,1.0
2310022B05Rik,24H,-0.16082457253215487,0.20820142643002745,1.0
2310030G06Rik,24H,-0.012492088165825699,0.9823420015682627,1.0
2310033P09Rik,24H,0.02599761488661123,0.8681485493182975,1.0
2310034G01Rik,24H,0.4776470443199039,0.43539797299782723,1.0
2310035C23Rik,24H,0.01258820400957994,0.9733415964185295,1.0
2310036O22Rik,24H,-0.11215052595271224,0.6189694293318604,1.0
2310039H08Rik,24H,-0.2839157183626897,0.21498635869388238,1.0
2310040G07Rik,24H,-0.585179253807218,0.19986909141070933,1.0
2310040G24Rik,24H,-0.36823667542116345,0.0973488852078717,1.0
2310047D07Rik,24H,-0.21186355158401993,0.6379074663900791,1.0
2310057M21Rik,24H,0.02712078533859419,0.889514644832906,1.0
2310058D17Rik,24H,0.18142835335323326,0.5437610668966951,1.0
2310061I04Rik,24H,-0.14174313842185704,0.6600594730843127,1.0
2310067B10Rik,24H,-0.055977299745521236,0.8105794477600604,1.0
2310069G16Rik,24H,-0.00636891805698081,0.9911047320802298,1.0
2310074N15Rik,24H,0.43697104798555886,0.4426967558826371,1.0
2410002F23Rik,24H,0.23476208461225134,0.31302464060981955,1.0
2410004B18Rik,24H,0.1819030263838961,0.46160639400042575,1.0
2410004I01Rik,24H,0.6001167826562495,0.5494057374843854,1.0
2410004P03Rik,24H,0.02583086575554816,0.9524890159363424,1.0
2410006H16Rik,24H,-0.28265610415222575,0.02071954172807756,1.0
2410015M20Rik,24H,-0.06498843069807059,0.5493619350014515,1.0
2410016O06Rik,24H,-0.02825878461976039,0.8505641296080774,1.0
2410018L13Rik,24H,-0.2508180299374647,0.3725917209000381,1.0
2410022M11Rik,24H,-0.5310316524965071,0.16879828982715273,1.0
2410080I02Rik,24H,0.057514045140417025,0.9082706135280674,1.0
2410089E03Rik,24H,0.2500401270917365,0.5272515660862714,1.0
2410131K14Rik,24H,0.19312262441232342,0.37564083927164715,1.0
2500002B13Rik,24H,0.36759191661437995,0.4345496385958507,1.0
2500004C02Rik,24H,-0.021714662987251998,0.9540668936115783,1.0
2510002D24Rik,24H,0.00495673098195315,0.9543591037480595,1.0
2510009E07Rik,24H,-0.04562858103555634,0.8578453206397199,1.0
2510016D11Rik,24H,0.11820924552506984,0.7366798036351662,1.0
2510017J16Rik,24H,0.041895644786080766,0.9586726797308235,1.0
2510039O18Rik,24H,-0.02456511235607728,0.6814835667578678,1.0
2510046G10Rik,24H,0.3523576675567539,0.5208298432242341,1.0
2600014E21Rik,24H,0.06455751130459397,0.9104607822132568,1.0
2610001J05Rik,24H,-0.675219682151412,0.13418843108476947,1.0
2610002M06Rik,24H,0.17384064269992372,0.5525506030218327,1.0
